name,hex,link
Carmine,#960018,https://en.wikipedia.org/wiki/Carmine_(color)
Carnation Pink,#ffa6c9,https://en.wikipedia.org/wiki/Carnation_pink
Carnelian,#b31b1b,https://en.wikipedia.org/wiki/Carnelian_(color)
Carolina Blue,#56a0d3,https://en.wikipedia.org/wiki/Carolina_blue
Carrot Orange,#ed9121,https://en.wikipedia.org/wiki/Shades_of_orange#Carrot_orange
Catawba,#703642,https://en.wikipedia.org/wiki/Catawba_(grape)#Catawba_(color)
Cedar Chest,#c95a49,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Magic_Scent
Celadon,#ace1af,https://en.wikipedia.org/wiki/Shades_of_green#Celadon
Celeste,#b2ffff,https://en.wikipedia.org/wiki/Sky_blue#Celeste
Cerise,#de3163,https://en.wikipedia.org/wiki/Cerise_(color)
Cerulean,#007ba7,https://en.wikipedia.org/wiki/Cerulean
Cerulean Blue,#2a52be,https://en.wikipedia.org/wiki/Cerulean#Cerulean_blue
Cerulean Frost,#6d9bc3,https://en.wikipedia.org/wiki/Cerulean#Cerulean_frost
Champagne,#f7e7ce,https://en.wikipedia.org/wiki/Champagne_(color)#Champagne
Champagne Pink,#f1ddcf,https://en.wikipedia.org/wiki/Shades_of_pink#Other_notable_pink_colors
Charcoal,#36454f,https://en.wikipedia.org/wiki/Shades_of_gray#Charcoal
Charm Pink,#e68fac,https://en.wikipedia.org/wiki/Shades_of_pink#Charm_pink
Chartreuse,#80ff00,https://en.wikipedia.org/wiki/Chartreuse_(color)
Cherry Blossom Pink,#ffb7c5,https://en.wikipedia.org/wiki/Shades_of_pink#Cherry_blossom_pink
Chestnut,#954535,https://en.wikipedia.org/wiki/Chestnut_(color)
Chili Red,#e23d28,https://en.wikipedia.org/wiki/Shades_of_red#Chili_red
China Pink,#de6fa1,https://en.wikipedia.org/wiki/Shades_of_pink#China_pink
Chinese Red,#aa381e,https://en.wikipedia.org/wiki/Vermilion#Chinese_red_2
Chinese Violet,#856088,https://en.wikipedia.org/wiki/Shades_of_violet#Chinese_violet
Chinese Yellow,#ffb200,https://en.wikipedia.org/wiki/Shades_of_yellow#Chinese_yellow
Chocolate,#7b3f00,https://en.wikipedia.org/wiki/Chocolate_(color)
Cinereous,#98817b,https://en.wikipedia.org/wiki/Cinereous
Cinnabar,#e34234,https://en.wikipedia.org/wiki/Vermilion
Cinnamon Satin,#cd607e,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls
Citrine,#e4d00a,https://en.wikipedia.org/wiki/Citrine_(colour)
Citron,#9fa91f,https://en.wikipedia.org/wiki/Citron_(color)
Claret,#7f1734,https://en.wikipedia.org/wiki/Wine_(color)#Claret
Coffee,#6f4e37,https://en.wikipedia.org/wiki/Coffee_(color)
Columbia Blue,#b9d9eb,https://en.wikipedia.org/wiki/Columbia_Blue
Congo Pink,#f88379,https://en.wikipedia.org/wiki/Shades_of_pink#Congo_pink
Cool Grey,#8c92ac,https://en.wikipedia.org/wiki/Shades_of_gray#Cool_gray
Copper,#b87333,https://en.wikipedia.org/wiki/Copper_(color)
Copper Penny,#ad6f69,https://en.wikipedia.org/wiki/Copper_(color)#Copper_penny
Copper Red,#cb6d51,https://en.wikipedia.org/wiki/Copper_(color)#Copper_red
Copper Rose,#996666,https://en.wikipedia.org/wiki/Copper_(color)#Copper_rose
Coquelicot,#ff3800,https://en.wikipedia.org/wiki/Coquelicot
Coral,#ff7f50,https://en.wikipedia.org/wiki/Coral_(color)
Coral Pink,#f88379,https://en.wikipedia.org/wiki/Coral_(color)#Coral_pink
Cordovan,#893f45,https://en.wikipedia.org/wiki/Cordovan_(color)
Corn,#fbec5d,https://en.wikipedia.org/wiki/Corn_(color)
Cornflower Blue,#6495ed,https://en.wikipedia.org/wiki/Cornflower_blue
Cornsilk,#fff8dc,https://en.wikipedia.org/wiki/Shades_of_white#Cornsilk
Cosmic Cobalt,#2e2d88,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls
Cosmic Latte,#fff8e7,https://en.wikipedia.org/wiki/Cosmic_latte
Cotton Candy,#ffbcd9,https://en.wikipedia.org/wiki/Shades_of_pink#Cotton_candy
Coyote Brown,#81613c,https://en.wikipedia.org/wiki/Coyote_brown
Cream,#fffdd0,https://en.wikipedia.org/wiki/Cream_(colour)
Crimson,#dc143c,https://en.wikipedia.org/wiki/Crimson
Cultured,#f5f5f5,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Pearl_Brite
Cyan,#00ffff,https://en.wikipedia.org/wiki/Cyan
Cyber Grape,#58427c,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Metallic_FX
Cyber Yellow,#ffd300,https://en.wikipedia.org/wiki/Shades_of_yellow#Cyber_yellow
Cyclamen,#f56fa1,https://en.wikipedia.org/wiki/Cyclamen_(color)
Dark Brown,#654321,https://en.wikipedia.org/wiki/Shades_of_brown#Dark_brown
Dark Byzantium,#5d3954,https://en.wikipedia.org/wiki/Byzantium_(color)#Dark_byzantium
Dark Cyan,#008b8b,https://en.wikipedia.org/wiki/Shades_of_cyan#Dark_cyan
Dark Electric Blue,#536878,https://en.wikipedia.org/wiki/Electric_blue_(color)#Dark_electric_blue
Dark Goldenrod,#b8860b,https://en.wikipedia.org/wiki/Goldenrod_(color)#Dark_goldenrod
Dark Green,#006400,https://en.wikipedia.org/wiki/Shades_of_green#Dark_green_(X11)
Dark Jungle Green,#1a2421,https://en.wikipedia.org/wiki/Jungle_green#Dark_jungle_green
Dark Khaki,#bdb76b,https://en.wikipedia.org/wiki/Khaki_(color)#Dark_khaki
Dark Lava,#483c32,https://en.wikipedia.org/wiki/Lava_(color)#Dark_lava
Dark Liver,#543d37,https://en.wikipedia.org/wiki/Liver_(color)#Dark_liver_(horses)
Dark Magenta,#8b008b,https://en.wikipedia.org/wiki/Shades_of_magenta#Dark_magenta
Dark Olive Green,#556b2f,https://en.wikipedia.org/wiki/Olive_(color)#Dark_olive_green
Dark Orange,#ff8c00,https://en.wikipedia.org/wiki/Shades_of_orange#Dark_orange_(web_color)
Dark Orchid,#9932cc,https://en.wikipedia.org/wiki/Orchid_(color)#Dark_orchid
Dark Purple,#301934,https://en.wikipedia.org/wiki/Dark_purple
Dark Red,#8b0000,https://en.wikipedia.org/wiki/Maroon_(color)#Dark_red
Dark Salmon,#e9967a,https://en.wikipedia.org/wiki/Salmon_(color)#Dark_salmon
Dark Sea Green,#8fbc8f,https://en.wikipedia.org/wiki/X11_color_names#Color_name_charts
Dark Sienna,#3c1414,https://en.wikipedia.org/wiki/Sienna
Dark Sky Blue,#8cbed6,https://en.wikipedia.org/wiki/Sky_blue#Dark_sky_blue
Dark Slate Blue,#483d8b,https://en.wikipedia.org/wiki/X11_color_names#Color_name_charts
Dark Slate Gray,#2f4f4f,https://en.wikipedia.org/wiki/Slate_gray#Dark_slate_gray
Dark Spring Green,#177245,https://en.wikipedia.org/wiki/Spring_green#Dark_spring_green
Dark Turquoise,#00ced1,https://en.wikipedia.org/wiki/Turquoise_(color)#Dark_turquoise
Dark Violet,#9400d3,https://en.wikipedia.org/wiki/Shades_of_violet#Pigment_violet_(web_color_dark_violet)
Davy's Grey,#555555,https://en.wikipedia.org/wiki/Davy%27s_grey
Deep Space Sparkle,#4a646c,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Metallic_FX
